Vehicle_ID,Mileage_km,Fuel_Consumption_L_per_100km,Engine_Hours,Number_of_Trips,Engine_Temperature_C,Tire_Pressure_PSI,Battery_Voltage_V,Oil_Level_L,Vibration_Units,Noise_Level_dB,Breakdown_Incidents,Part_Replacements,Service_History,MaintenanceRequired
V04864,291455,11.87,6183,1120,101,21.3,10.1,4.24,3.3,82,0,5,5,1
V04865,211950,16.14,5914,1056,70,24.9,10.3,3.84,0.26,94,1,3,2,1
V04866,138181,10.23,5981,2048,105,20.3,14.6,3.92,3.57,92,1,8,2,0
V04867,199127,8.32,3748,2452,86,24.1,12.4,1.13,8.79,75,4,3,1,1
V04868,148456,10.52,8699,2103,85,35.4,14.9,4.83,9.04,84,4,0,4,1
V04869,131440,16.29,4403,461,81,32.0,14.5,1.62,3.5,85,0,0,0,0
V04870,114306,6.15,6135,2384,110,40.6,13.2,3.15,2.4,51,4,1,2,1
V04871,258123,8.79,11755,1618,119,28.4,12.0,2.24,4.81,63,3,5,5,0
V04872,267804,7.93,1626,1165,107,30.7,11.6,1.17,7.16,91,1,9,2,1
V04873,50742,17.76,5252,1968,103,31.5,12.9,1.49,7.3,51,2,9,4,1
V04874,119950,10.54,11114,962,98,42.5,13.7,1.16,3.76,80,0,3,5,1
V04875,118121,16.06,7400,2161,71,41.2,12.0,3.68,8.3,78,2,0,5,1
V04876,254203,8.47,3049,2133,114,26.6,10.9,4.92,9.53,66,2,5,4,0
V04877,167860,10.22,9687,690,70,21.6,11.1,2.35,3.28,63,0,7,5,1
V04878,130221,9.6,2699,1806,102,26.4,13.1,4.88,0.53,99,1,4,1,1
V04879,110158,17.98,11102,2207,113,44.6,11.0,3.14,1.4,83,0,8,0,1
V04880,56706,6.23,9003,1103,76,22.0,11.5,4.58,7.12,61,4,9,5,1
V04881,160200,17.52,4863,531,90,27.0,10.3,1.52,3.96,55,2,7,3,1
V04882,242848,11.58,7939,2068,97,26.8,13.5,3.2,3.32,98,4,8,5,1
V04883,164237,7.27,3272,296,105,31.1,13.0,1.19,0.35,55,4,3,1,0
V04884,68731,9.66,11495,171,94,41.0,10.7,1.19,7.51,88,4,1,1,1
V04885,152575,9.56,7397,883,115,22.8,14.7,2.85,0.25,55,2,5,4,1
V04886,122504,9.37,1833,374,75,43.4,11.4,1.92,1.72,79,3,4,5,1
V04887,205167,10.61,4648,1391,93,44.4,10.1,4.51,1.99,80,3,0,0,1
V04888,297351,11.97,10620,1506,104,35.1,11.4,4.41,2.41,99,4,1,4,0
V04889,202133,13.97,9563,2163,80,37.7,13.5,3.38,3.06,79,3,8,3,1
V04890,192445,17.89,2639,769,76,24.1,13.6,2.13,3.1,69,0,5,2,0
V04891,263093,11.75,4972,422,77,39.2,11.2,3.19,2.37,85,4,6,5,1
V04892,262913,13.03,2947,1078,119,38.9,10.4,3.89,8.78,70,2,0,2,1
V04893,245345,10.42,11182,1759,88,39.8,14.4,2.1,6.85,68,0,2,3,1
V04894,194977,14.03,3662,1584,98,39.0,14.9,1.44,7.47,88,3,7,0,1
V04895,204579,9.75,4819,750,100,29.7,11.9,2.24,1.04,81,0,3,1,0
V04896,273763,16.84,6777,811,88,41.9,11.9,1.59,2.38,68,0,0,0,1
V04897,283319,14.78,3821,297,78,24.7,13.6,4.38,5.61,70,2,3,5,0
V04898,268132,15.0,4935,1094,98,37.8,14.9,1.57,6.29,66,4,8,3,1
V04899,116848,8.39,9034,2043,114,22.6,14.5,2.64,4.99,72,1,7,4,1
V04900,114109,14.42,1565,2358,115,44.6,10.8,1.01,3.85,89,4,2,5,1
V04901,152644,11.14,11261,1908,90,21.7,13.2,2.77,8.22,93,4,3,2,1
V04902,208320,12.41,2858,232,89,36.9,10.5,1.33,7.1,51,3,0,2,1
V04903,98928,13.6,1600,2213,118,43.4,11.6,4.42,6.29,50,3,9,5,1
V04904,126565,11.06,9633,1450,85,25.3,12.6,1.85,0.22,60,3,3,1,1
V04905,245818,16.53,8005,1943,114,21.2,11.9,4.17,8.09,96,2,3,5,1
V04906,119396,8.47,10689,1906,92,27.8,11.8,2.42,6.63,94,2,2,5,1
V04907,188450,6.44,5818,1348,110,39.6,11.2,3.34,5.81,88,0,0,5,1
V04908,123880,8.61,11241,677,111,40.5,11.2,1.39,2.31,78,2,6,5,1
V04909,169548,11.4,7368,1449,74,21.0,10.1,1.43,9.34,91,4,2,0,1
V04910,216312,10.27,1408,1081,81,29.0,11.9,2.28,4.57,70,0,2,3,0
V04911,113816,14.11,9536,1464,81,23.5,13.4,4.67,0.42,69,4,2,0,0
V04912,149078,8.32,2832,1229,100,23.3,11.6,3.8,4.09,56,0,5,1,0
V04913,282002,15.38,3672,1993,89,39.1,12.4,2.19,2.81,59,0,6,2,0
V04914,124231,8.61,6856,1216,113,32.7,10.2,1.31,6.29,52,0,1,3,0
V04915,202820,14.36,8656,2463,89,38.3,11.7,4.64,6.19,68,3,6,2,1
V04916,270361,7.54,5528,1586,87,34.5,11.8,1.15,1.24,96,3,8,1,0
V04917,98244,9.68,7126,1407,112,43.2,10.8,4.97,7.63,63,3,2,0,1
V04918,226548,12.32,8498,398,109,25.6,10.0,3.11,5.72,97,4,6,2,1
V04919,216926,14.15,3364,1216,117,38.4,11.3,2.87,1.64,73,4,3,1,1
V04920,61175,10.02,3260,186,95,33.1,14.6,4.71,7.12,86,4,6,2,0
V04921,283624,9.18,9976,1683,88,41.9,13.7,3.28,0.12,89,3,9,3,1
V04922,219154,15.85,7279,1038,116,35.2,14.4,3.67,0.62,59,3,8,3,1
V04923,291821,9.95,5106,2419,80,22.6,13.8,1.66,9.1,97,2,6,4,1
V04924,223206,13.2,9079,1377,71,35.0,11.3,4.7,2.39,68,2,9,4,1
V04925,163182,17.49,7521,628,83,25.1,11.8,1.01,7.81,57,1,9,0,0
V04926,136662,17.7,3705,1146,75,24.9,13.7,4.91,6.01,52,2,7,1,0
V04927,279093,9.45,11850,2214,118,27.6,10.3,2.77,2.79,72,2,7,5,1
V04928,97227,14.96,7377,1285,83,32.8,13.0,1.55,3.04,63,3,3,2,0
V04929,72972,17.57,7268,1676,93,26.8,10.3,4.91,2.0,67,1,6,5,1
V04930,92731,7.62,4607,1181,89,40.8,11.0,2.65,1.26,90,1,0,3,1
V04931,230400,14.95,5651,1005,86,21.0,12.5,1.72,6.27,68,1,1,2,1
V04932,212815,13.28,8669,562,112,35.0,12.7,4.92,8.9,76,4,7,5,0
V04933,182704,10.22,9196,1508,104,33.4,11.1,3.19,1.87,60,4,5,5,1
V04934,164575,9.73,6500,1168,92,30.5,14.5,4.25,8.96,93,0,6,0,1
V04935,118507,9.24,10240,1851,88,30.0,13.1,3.94,8.31,85,4,3,5,1
V04936,261695,8.05,7307,1066,74,20.7,14.6,4.15,6.81,96,3,8,1,1
V04937,78702,6.37,6722,1967,119,29.7,11.0,3.83,4.77,68,2,6,1,1
V04938,62472,7.32,8329,1386,109,42.2,14.3,4.08,3.38,74,4,4,3,0
V04939,148436,9.38,3073,2367,84,42.2,11.8,2.68,2.51,64,0,6,2,0
V04940,60844,10.78,4089,891,119,37.0,11.9,3.47,7.03,76,2,8,5,0
V04941,295927,6.8,3470,1539,103,43.6,13.1,1.37,4.33,74,3,4,4,0
V04942,143016,16.1,8531,142,82,44.0,11.4,2.31,6.67,64,3,0,0,1
V04943,72766,15.57,4902,2189,109,33.9,11.6,1.72,9.89,50,3,7,1,1
V04944,121191,7.54,8143,653,101,41.3,13.9,1.74,2.28,54,2,0,3,0
V04945,231738,11.22,879,964,79,22.5,11.8,4.74,3.51,88,4,2,1,1
V04946,178339,10.32,5959,862,72,42.3,13.2,3.27,7.96,93,3,9,0,1
V04947,99552,9.55,3321,1136,89,25.1,14.7,2.84,3.03,59,4,7,5,0
V04948,222622,13.83,6391,1679,74,34.6,11.0,2.18,4.11,84,0,3,5,0
V04949,188251,9.96,10172,2432,89,43.0,12.5,2.16,4.83,96,0,2,0,1
V04950,151939,10.25,9209,1721,108,25.5,10.9,2.21,2.06,97,4,0,5,1
V04951,137143,6.81,5419,1317,118,22.1,14.4,2.61,6.33,86,4,2,0,1
V04952,204199,8.57,11151,609,79,39.7,14.9,3.64,6.62,92,4,2,0,1
V04953,213252,14.27,1552,1874,87,42.6,10.0,3.29,5.8,55,3,3,4,0
V04954,227550,12.81,7847,1175,107,24.6,11.9,3.23,5.19,99,3,3,3,1
V04955,76704,14.85,7320,603,100,24.4,13.0,1.09,7.9,71,1,2,1,1
V04956,191612,8.06,1594,2403,103,36.3,13.2,2.57,2.64,83,4,9,3,0
V04957,200901,9.42,9609,870,82,23.9,14.8,1.48,5.84,97,4,6,3,1
V04958,127196,7.02,11795,1054,111,44.8,14.6,2.6,4.14,85,0,2,2,0
V04959,294509,14.3,6931,162,104,37.1,12.9,1.35,2.88,60,1,4,2,1
V04960,267284,8.18,7221,2136,101,37.8,13.0,3.95,2.04,94,3,6,3,1
V04961,174914,12.6,2931,2018,82,26.6,13.0,3.95,9.16,65,1,5,4,1
V04962,153439,15.75,3939,1088,72,42.3,11.2,3.88,0.64,80,2,6,3,0
V04963,73108,7.45,8367,1252,88,35.4,15.0,1.75,8.97,84,1,6,0,1
V04964,216401,8.11,9657,1437,79,41.5,14.3,3.26,4.81,81,0,4,0,1
V04965,105241,15.8,1211,224,90,34.8,11.1,2.53,2.16,83,1,1,4,0
V04966,181747,16.78,4761,948,103,44.8,14.9,1.86,7.71,64,1,3,1,1
V04967,138757,14.13,7931,2063,77,23.6,10.2,1.55,1.34,63,4,6,0,1
V04968,224424,15.51,10627,1647,111,24.7,10.4,4.28,1.31,54,1,5,5,1
V04969,221108,13.63,3681,1512,107,24.3,14.2,2.54,3.71,55,1,1,0,1
V04970,54772,13.01,10442,316,87,41.1,11.5,4.17,9.76,90,3,4,0,1
V04971,91844,6.83,3622,1041,117,26.4,13.0,1.94,9.31,95,2,9,5,0
V04972,141403,17.24,6041,1791,78,35.1,14.1,3.46,0.12,73,2,1,2,0
V04973,68733,6.37,3452,200,79,35.9,10.1,2.85,3.31,64,2,8,2,0
V04974,109104,12.37,4429,1076,110,34.2,11.1,3.02,0.37,65,2,2,0,0
V04975,271150,13.74,5578,880,109,30.5,11.2,4.78,1.81,52,2,0,5,1
V04976,99730,8.88,3875,1729,84,38.3,14.1,4.14,4.22,51,3,2,4,0
V04977,83706,9.62,7772,469,110,22.6,12.7,3.21,7.9,65,4,7,5,0
V04978,250681,6.21,1220,406,118,25.0,10.1,3.61,5.23,52,1,9,4,1
V04979,270099,17.28,5264,596,97,36.3,14.7,3.42,3.54,82,4,2,0,1
V04980,289496,9.3,7641,428,106,20.4,10.1,1.63,6.32,71,4,8,5,1
V04981,287145,16.24,10230,2289,78,42.2,10.5,2.12,0.05,53,2,4,5,1
V04982,217464,9.14,8918,932,90,29.0,13.7,4.49,3.45,65,2,9,1,0
V04983,189836,14.52,654,1261,84,32.2,11.2,2.4,4.02,53,0,6,3,0
V04984,227494,15.09,2335,2196,75,21.3,12.3,3.75,1.73,57,2,6,2,1
V04985,280073,9.67,2130,1746,73,22.7,14.5,2.58,6.43,98,1,3,3,1
V04986,184099,15.5,6776,479,119,23.7,14.9,4.6,5.44,74,4,6,1,0
V04987,243759,14.05,8060,929,77,23.8,14.4,2.4,5.91,57,4,7,5,0
V04988,76525,8.66,4204,1875,73,34.3,10.8,3.56,5.25,75,1,9,3,0
V04989,240394,9.41,5437,991,78,33.0,12.4,1.9,5.61,72,1,0,1,0
V04990,209380,6.88,3702,1095,107,36.4,14.9,2.34,3.74,89,1,0,2,0
V04991,151628,16.64,11169,2112,101,42.1,13.9,2.3,9.1,80,3,9,3,1
V04992,215729,13.28,4902,157,118,25.9,11.1,3.8,9.44,58,1,7,3,0
V04993,86120,12.21,5113,1283,77,30.6,13.8,2.55,8.78,96,3,8,2,1
V04994,253162,17.51,2051,227,72,35.3,13.3,4.57,8.93,82,3,5,1,0
V04995,294954,14.88,8631,1505,73,41.3,10.3,4.07,8.96,86,0,3,0,0
V04996,225544,13.53,9371,1352,94,42.0,10.5,1.72,2.76,53,3,1,4,1
V04997,75882,15.65,9844,1525,100,31.9,10.6,1.94,8.28,87,1,0,3,0
V04998,222486,14.71,6474,274,106,24.8,13.2,2.17,0.14,65,2,3,5,1
V04999,291283,13.19,1411,1055,114,39.1,10.2,2.47,9.54,94,2,2,2,0
V05000,58712,6.91,11632,760,89,20.9,12.8,4.7,3.71,87,3,4,1,1
V05001,97671,16.93,5600,1687,107,20.4,11.9,1.45,6.77,53,2,6,0,1
V05002,174974,14.77,9137,519,87,34.1,14.7,4.78,6.91,88,4,0,0,0
V05003,269339,9.11,5697,2111,117,29.4,14.4,2.35,3.22,86,3,2,1,1
V05004,130275,8.72,8894,2239,86,27.8,14.4,3.99,8.36,78,0,4,1,1
V05005,70549,14.12,741,301,75,32.8,10.8,3.16,5.92,69,0,9,0,0
V05006,290021,8.28,7040,2127,100,25.6,14.1,3.1,0.89,86,2,6,3,0
V05007,112805,14.98,11934,892,82,38.1,12.1,2.72,3.85,98,4,4,2,0
V05008,263496,9.2,3656,969,103,23.2,10.5,4.67,4.42,73,0,7,1,1
V05009,247478,15.39,10534,923,75,36.1,11.8,3.73,1.8,86,2,8,2,1
V05010,157986,8.61,2107,2239,79,25.6,11.0,1.53,9.81,71,0,4,1,0
V05011,153771,6.72,10872,1034,112,26.8,14.1,3.89,9.36,86,2,7,3,1
V05012,69842,15.29,10487,341,97,31.2,12.8,2.5,2.02,73,3,0,1,0
V05013,142064,8.93,4421,934,70,25.5,12.0,2.34,3.56,67,4,7,1,0
V05014,255215,7.2,5037,130,78,36.8,14.1,4.15,9.59,68,2,5,1,1
V05015,153845,15.72,8779,1269,100,36.6,12.2,2.27,4.68,98,2,1,4,0
V05016,81587,16.3,5763,895,75,43.1,11.4,3.81,5.38,88,4,7,5,1
V05017,180419,10.52,3829,1821,84,20.8,13.6,4.57,8.03,78,3,7,5,1
V05018,282150,13.1,9006,1564,112,39.0,12.8,4.73,9.09,66,1,4,2,1
V05019,266532,7.43,11098,1052,108,35.6,12.1,4.86,1.56,64,0,0,2,0
V05020,106729,15.23,2466,67,74,29.6,11.7,2.57,8.52,91,2,8,5,0
V05021,130703,11.1,1786,1126,80,37.8,14.2,3.68,0.0,53,1,2,2,0
V05022,253678,16.85,3275,227,83,37.9,10.3,3.97,4.4,64,2,9,4,0
V05023,68020,14.02,10640,227,83,25.2,14.8,3.45,5.05,75,0,0,4,0
V05024,165808,10.99,2130,100,97,30.3,10.3,3.91,1.25,79,4,1,5,0
V05025,253945,14.61,645,2491,89,31.3,13.5,1.26,3.37,67,3,9,1,1
V05026,267279,15.7,11930,1580,74,31.0,10.6,4.89,8.27,77,2,1,5,0
V05027,95731,6.62,8736,781,92,42.2,13.8,1.01,9.88,68,3,4,0,0
V05028,172090,11.47,7958,1080,88,36.0,11.5,2.93,9.18,58,2,1,0,0
V05029,245415,13.75,4861,1130,98,40.1,10.4,1.37,2.0,86,4,7,5,1
V05030,138342,14.16,5721,2422,111,32.3,13.5,1.98,2.35,86,3,7,0,1
V05031,196487,17.6,10554,1174,103,31.0,12.6,2.79,3.57,76,1,8,3,0
V05032,155499,10.11,10716,1307,78,40.1,10.9,3.93,3.42,64,1,7,2,1
V05033,117339,9.29,3938,2163,93,36.8,10.1,3.09,5.48,66,1,4,4,0
V05034,95569,13.89,7561,671,119,21.4,13.3,4.04,7.13,78,3,1,5,1
V05035,279697,9.83,4713,1912,79,42.9,12.9,3.56,0.3,80,4,5,2,0
V05036,188299,10.96,10501,1850,119,23.5,14.0,4.33,3.96,80,0,4,5,0
V05037,145655,7.35,8559,1198,83,37.9,11.9,3.65,6.72,56,2,2,2,0
V05038,234752,8.31,9752,2299,70,43.6,14.7,4.32,7.44,65,1,8,1,1
V05039,246802,7.74,1669,1888,92,23.9,10.3,3.55,1.06,98,1,2,4,1
V05040,99228,17.05,6235,1332,92,38.9,12.9,3.35,4.13,99,2,4,2,0
V05041,142975,9.99,9846,838,82,34.5,12.3,4.93,5.07,86,3,9,5,0
V05042,229497,11.39,9582,1251,107,37.0,14.1,4.29,1.02,53,2,5,4,0
V05043,80755,13.03,5268,588,101,37.5,10.9,2.33,5.46,96,4,6,1,0
V05044,281839,14.76,4238,127,94,36.5,10.4,4.65,8.77,93,0,1,5,1
V05045,119997,7.1,9364,597,82,24.3,11.9,2.96,8.9,90,3,8,1,1
V05046,153153,16.71,11169,846,90,22.5,14.4,1.48,4.71,94,4,5,0,1
V05047,218092,10.66,10724,1701,75,36.2,14.5,4.61,0.71,89,1,4,0,1
V05048,299278,10.93,2355,257,119,37.1,10.3,2.53,7.41,90,3,8,4,0
V05049,166292,14.64,853,1416,93,40.3,12.0,1.29,6.66,54,0,7,4,1
V05050,257207,6.38,10716,1899,76,28.7,12.4,3.12,0.02,98,1,5,5,1
V05051,139700,6.39,10278,828,76,28.9,14.5,4.75,7.81,73,2,9,1,0
V05052,124340,9.71,2948,956,91,33.6,11.2,4.54,6.07,67,1,5,5,0
V05053,62192,15.24,3287,1746,116,20.1,12.1,2.53,0.25,62,2,6,3,0
V05054,249673,14.85,2547,1500,86,28.1,11.7,1.91,5.38,82,2,5,4,1
V05055,58217,8.63,2382,1788,85,28.8,12.3,4.49,3.64,83,0,4,1,0
V05056,115484,6.33,7348,2162,117,30.6,12.7,3.81,9.99,78,0,0,0,0
V05057,152896,12.92,5291,1453,109,23.1,11.2,4.74,1.8,79,3,3,0,1
V05058,166754,16.1,9051,552,95,27.3,10.1,4.81,8.09,67,1,5,4,1
V05059,73415,8.4,3451,918,104,41.0,12.3,3.5,0.71,97,0,2,3,0
V05060,258087,16.32,7717,2409,112,33.0,13.4,1.26,8.42,77,0,6,1,0
V05061,57185,15.23,851,804,87,38.7,12.6,2.95,6.27,71,2,7,4,0
V05062,232612,13.09,7483,1811,70,38.4,13.6,2.23,0.89,84,4,9,2,1
V05063,214509,7.68,5700,123,71,44.4,11.3,4.97,9.75,95,0,9,3,0
V05064,270383,11.91,10689,1319,82,32.5,11.0,3.52,6.93,70,3,3,3,0
V05065,218193,16.28,2899,765,111,35.0,10.8,2.46,2.85,60,0,2,2,1
V05066,106523,17.06,8660,289,97,35.2,11.1,2.54,0.39,69,1,5,0,0
V05067,131078,16.96,7965,1689,79,21.6,10.9,3.26,4.63,82,4,2,1,1
V05068,219510,17.85,8061,2211,95,22.3,14.5,4.86,8.68,91,0,5,0,1
V05069,103795,15.53,1268,2111,91,21.7,10.4,2.05,3.59,74,0,6,3,1
V05070,172977,17.14,1148,914,93,44.5,13.0,2.48,9.6,89,2,8,3,1
V05071,96293,15.13,3430,463,75,38.6,12.0,2.17,8.31,79,2,1,2,0
V05072,141138,6.3,3036,1289,80,22.9,10.6,4.55,5.29,76,4,6,5,0
V05073,104043,14.78,8133,2475,103,24.9,12.1,4.08,4.45,68,4,5,5,1
V05074,264167,12.01,1206,2010,107,21.6,13.8,3.89,4.11,54,3,5,5,1
V05075,242707,17.32,2710,231,88,41.1,14.7,3.84,7.72,84,1,8,4,1
V05076,71318,14.23,5222,2490,101,30.6,14.2,4.64,3.9,83,4,8,2,1
V05077,232296,17.5,2314,348,113,22.9,10.6,4.59,3.62,99,2,8,4,1
V05078,95732,6.98,3764,734,103,20.5,11.1,4.17,9.35,76,3,3,2,1
V05079,169073,9.5,4113,58,90,20.1,10.6,4.39,4.51,86,3,6,0,1
V05080,288352,16.05,3924,150,100,32.6,14.6,4.24,7.14,91,4,8,1,1
V05081,184453,13.8,11103,1476,101,33.4,10.8,4.85,5.36,65,4,7,5,0
V05082,221609,17.09,5483,2164,106,21.2,12.1,2.96,5.21,94,3,9,2,0
V05083,272898,8.22,2665,1999,74,23.0,12.7,3.42,1.83,56,0,6,2,1
V05084,294874,15.38,4241,1283,114,32.7,13.2,4.06,0.91,71,1,9,5,0
V05085,149197,11.63,3604,146,92,23.9,14.5,2.07,2.0,79,0,4,5,0
V05086,163363,12.92,8808,2265,98,29.9,12.8,2.2,6.59,83,3,1,1,1
V05087,221879,16.1,9288,1891,110,41.6,11.2,4.42,0.78,66,2,6,4,1
V05088,98763,16.62,2997,1329,108,24.9,10.2,1.57,1.23,77,1,9,3,1
V05089,187473,17.67,10806,179,107,37.4,10.1,1.92,9.92,54,3,6,0,1
V05090,212449,11.8,3693,1880,98,24.7,11.3,3.69,5.19,84,4,0,3,1
V05091,98002,10.58,9272,944,113,23.0,10.5,4.79,1.51,75,2,8,3,0
V05092,169494,17.91,4860,2472,77,33.3,11.3,4.41,2.01,52,1,2,4,0
V05093,173057,8.57,1370,368,80,37.9,12.0,1.16,7.26,51,2,9,2,0
V05094,297043,8.8,4748,1593,101,30.5,11.7,4.37,7.03,91,4,7,4,1
V05095,104243,15.99,6278,1826,109,23.7,12.9,4.52,2.42,67,2,1,5,1
V05096,83568,12.9,10136,2313,80,21.7,10.8,1.26,5.62,60,0,4,0,1
V05097,68046,12.6,5119,540,108,32.9,14.2,2.03,6.71,64,4,5,2,0
V05098,235226,14.24,4288,2118,96,37.8,15.0,3.01,9.17,54,1,8,3,0
V05099,90197,15.47,9496,2222,112,29.1,11.0,4.68,7.68,98,4,3,3,0
V05100,194157,15.0,9191,1451,102,41.9,10.9,2.74,3.29,53,2,7,2,0
V05101,174029,16.84,11028,1004,70,23.1,11.7,1.4,3.06,68,0,1,1,1
V05102,97480,6.83,523,829,73,39.2,14.1,1.69,3.91,99,1,2,2,0
V05103,109574,9.73,2606,574,80,24.4,13.6,4.03,8.66,86,1,4,3,1
V05104,197590,15.33,5144,1331,79,37.5,13.2,1.88,3.91,78,2,3,2,0
V05105,203650,6.77,1414,428,83,32.8,10.5,2.5,1.87,91,4,5,1,1
V05106,292467,7.69,1688,608,117,25.2,10.8,4.24,8.39,50,4,7,3,0
V05107,289336,13.77,8104,106,81,24.5,13.4,3.91,8.99,81,3,2,1,0
V05108,185809,17.51,11551,1088,74,39.3,10.5,1.59,3.77,89,2,8,3,1
V05109,121487,9.89,11511,62,115,40.0,10.2,3.88,0.18,94,2,1,3,0
V05110,85905,6.19,4995,2158,105,20.6,12.5,1.8,1.69,75,3,9,2,0
V05111,173215,16.86,8122,2482,105,33.2,13.0,4.06,6.42,61,3,9,0,1
V05112,101856,13.37,7449,886,82,26.6,13.3,1.4,9.42,78,4,0,1,1
V05113,220865,10.04,6524,1389,116,32.3,13.3,3.42,6.31,97,4,8,3,1
V05114,176147,9.93,4287,445,78,41.8,13.7,2.69,0.96,85,3,3,1,0
V05115,103310,10.01,7491,1419,88,26.0,10.9,1.77,1.68,88,4,7,2,1
V05116,188424,15.33,8288,1049,85,20.1,12.7,4.42,5.09,53,3,8,5,0
V05117,254300,8.2,3665,1395,80,43.6,12.4,1.36,6.27,97,0,0,2,1
V05118,134330,12.41,3797,928,102,37.1,13.7,1.3,8.32,61,1,3,0,0
V05119,231664,6.4,5160,261,86,25.9,14.7,1.75,8.96,75,1,9,4,1
V05120,256366,10.85,3523,1964,110,29.3,11.3,2.09,5.07,97,0,5,3,1
V05121,152847,6.9,4355,749,114,38.4,13.9,3.12,4.94,97,3,9,5,0
V05122,223949,16.38,10948,1040,102,25.4,13.1,1.09,0.84,91,2,3,1,1
V05123,141819,9.03,8163,1975,110,35.0,10.3,2.49,0.23,82,0,9,0,0
V05124,173532,8.75,4257,1241,76,32.4,14.6,1.94,7.12,97,2,7,3,1
V05125,219533,16.69,6667,1108,89,34.1,12.4,4.49,5.69,67,1,8,0,0
V05126,198165,10.35,4770,129,81,24.3,12.8,2.73,6.11,67,3,7,5,0
V05127,119469,14.31,9907,510,105,27.3,10.5,2.01,5.92,64,1,9,5,0
V05128,161002,11.97,2635,2298,103,42.4,11.5,4.52,9.71,64,1,2,0,1
V05129,203099,15.88,1978,1924,107,38.2,12.8,2.11,9.65,65,0,9,4,1
V05130,101379,16.14,9673,271,94,22.9,11.4,1.14,0.05,54,2,9,4,0
V05131,121277,12.96,5472,2142,108,31.2,11.5,4.41,8.95,51,1,3,0,1
V05132,100405,11.64,3931,748,117,22.1,14.0,1.85,3.92,65,3,9,3,1
V05133,160337,7.66,11016,1132,93,43.1,10.7,3.04,3.75,71,3,6,5,0
V05134,124221,10.35,7051,770,111,38.4,11.0,2.99,3.83,94,4,7,4,1
V05135,262923,11.56,6051,1350,98,32.2,10.3,4.13,3.79,75,1,1,5,1
V05136,247804,16.45,3635,2012,118,35.9,10.0,2.44,9.37,56,1,2,1,1
V05137,90140,12.95,11627,1546,101,33.1,13.0,2.65,4.8,55,4,7,2,0
V05138,292227,17.69,5500,932,94,32.2,14.3,3.21,9.99,90,4,8,0,0
V05139,231752,14.43,6525,1363,116,42.7,13.5,3.33,5.76,57,3,3,5,0
V05140,236167,8.69,7868,155,87,34.5,11.2,1.4,0.46,67,4,2,2,1
V05141,175646,6.2,4317,1286,83,35.8,10.5,3.97,8.39,72,2,4,2,0
V05142,158456,12.97,3954,761,85,20.9,13.4,3.93,7.55,71,4,4,1,0
V05143,245076,6.92,10554,2340,105,25.8,14.0,4.02,6.69,72,1,5,1,1
V05144,284465,7.61,2183,254,109,36.4,11.1,4.4,0.86,69,4,0,3,0
V05145,186131,10.48,3922,951,75,37.2,12.6,3.17,7.44,91,4,5,2,0
V05146,229432,14.82,10890,1873,86,24.9,12.6,3.03,8.21,68,0,4,4,0
V05147,50289,10.21,10189,422,117,44.2,12.7,3.62,2.46,76,0,4,5,1
V05148,222511,17.76,7200,797,94,34.2,13.8,3.02,5.12,99,2,5,4,1
V05149,255435,10.86,10981,2397,81,25.2,10.1,2.49,9.62,50,1,8,1,1
V05150,199273,7.21,8609,677,109,41.0,10.9,4.64,2.32,62,4,4,4,1
V05151,187387,7.58,3165,1208,103,25.4,11.4,2.42,1.57,75,2,3,0,0
V05152,220248,16.9,5256,2062,81,28.3,13.6,4.51,8.57,61,1,3,4,1
V05153,171061,7.05,11592,297,97,31.0,12.0,4.56,1.56,73,4,0,3,0
V05154,190165,9.26,2325,819,99,37.0,14.9,2.24,9.99,96,4,7,0,0
V05155,92721,10.59,7111,1344,117,34.1,14.3,4.93,5.75,88,4,3,0,1
V05156,261681,7.37,2526,1440,108,41.1,10.1,1.12,3.67,52,2,5,4,1
V05157,274388,12.07,4350,2471,87,24.2,12.0,3.93,9.84,77,3,6,2,1
V05158,120753,9.54,9332,1234,118,20.2,13.4,3.27,8.66,76,0,6,2,1
V05159,263382,17.04,1043,2490,98,34.0,10.4,3.18,1.67,89,2,0,2,0
V05160,169852,10.4,3307,1437,88,26.4,14.9,3.91,0.05,68,2,7,0,0
V05161,165879,10.4,6627,2302,98,35.1,10.0,4.35,4.27,80,4,3,1,1
V05162,97564,15.14,8361,1438,80,25.0,12.1,1.88,6.94,98,1,8,0,0
V05163,113259,9.49,6585,288,75,30.8,14.1,4.31,4.24,68,0,7,2,0
V05164,68798,6.76,836,634,103,37.4,12.8,4.58,6.46,74,3,2,2,0
V05165,245296,13.36,1393,221,81,24.0,11.7,1.5,4.17,75,0,8,4,1
V05166,120979,15.0,4933,732,94,35.3,11.0,3.44,5.08,60,3,1,5,0
V05167,279923,12.04,2324,2327,80,33.7,13.1,2.89,8.32,56,3,3,4,1
V05168,235307,8.71,7464,1117,100,28.9,10.8,1.24,3.2,65,2,2,4,1
V05169,61648,14.51,11681,946,111,25.7,12.5,2.88,6.83,57,1,6,4,0
V05170,102945,9.6,4124,2111,79,27.8,14.4,1.2,4.79,89,4,6,0,0
V05171,203669,11.51,4434,930,116,40.3,14.2,2.27,3.89,72,4,2,1,1
V05172,261792,16.38,7900,1241,74,33.6,14.9,2.29,8.95,73,3,6,0,1
V05173,293782,14.32,4567,302,75,32.6,10.4,1.54,7.25,75,4,7,3,1
